DP;DPNOM;AÑO;ÁREA GEOGRÁFICA;Población
05;Antioquia;2020;Cabecera;5.250.157
05;Antioquia;2020;Centros Poblados y Rural Disperso;1.399.244
05;Antioquia;2020;Total;6.649.401
05;Antioquia;2021;Cabecera;5.350.556
05;Antioquia;2021;Centros Poblados y Rural Disperso;1.375.663
05;Antioquia;2021;Total;6.726.219
05;Antioquia;2022;Cabecera;5.424.921
05;Antioquia;2022;Centros Poblados y Rural Disperso;1.362.925
05;Antioquia;2022;Total;6.787.846
05;Antioquia;2023;Cabecera;5.494.521
05;Antioquia;2023;Centros Poblados y Rural Disperso;1.353.839
05;Antioquia;2023;Total;6.848.360
05;Antioquia;2024;Cabecera;5.551.824
05;Antioquia;2024;Centros Poblados y Rural Disperso;1.351.897
05;Antioquia;2024;Total;6.903.721
05;Antioquia;2025;Cabecera;5.600.952
05;Antioquia;2025;Centros Poblados y Rural Disperso;1.350.873
05;Antioquia;2025;Total;6.951.825
05;Antioquia;2026;Cabecera;5.643.692
05;Antioquia;2026;Centros Poblados y Rural Disperso;1.350.625
05;Antioquia;2026;Total;6.994.317
05;Antioquia;2027;Cabecera;5.681.698
05;Antioquia;2027;Centros Poblados y Rural Disperso;1.351.697
05;Antioquia;2027;Total;7.033.395
05;Antioquia;2028;Cabecera;5.715.714
05;Antioquia;2028;Centros Poblados y Rural Disperso;1.354.277
05;Antioquia;2028;Total;7.069.991
05;Antioquia;2029;Cabecera;5.746.268
05;Antioquia;2029;Centros Poblados y Rural Disperso;1.358.617
05;Antioquia;2029;Total;7.104.885
05;Antioquia;2030;Cabecera;5.773.785
05;Antioquia;2030;Centros Poblados y Rural Disperso;1.364.893
05;Antioquia;2030;Total;7.138.678
05;Antioquia;2031;Cabecera;5.799.053
05;Antioquia;2031;Centros Poblados y Rural Disperso;1.372.223
05;Antioquia;2031;Total;7.171.276
05;Antioquia;2032;Cabecera;5.822.958
05;Antioquia;2032;Centros Poblados y Rural Disperso;1.379.324
05;Antioquia;2032;Total;7.202.282
05;Antioquia;2033;Cabecera;5.845.357
05;Antioquia;2033;Centros Poblados y Rural Disperso;1.386.272
05;Antioquia;2033;Total;7.231.629
05;Antioquia;2034;Cabecera;5.866.126
05;Antioquia;2034;Centros Poblados y Rural Disperso;1.393.156
05;Antioquia;2034;Total;7.259.282
05;Antioquia;2035;Cabecera;5.885.450
05;Antioquia;2035;Centros Poblados y Rural Disperso;1.399.760
05;Antioquia;2035;Total;7.285.210
05;Antioquia;2036;Total;7.309.257
05;Antioquia;2037;Total;7.331.280
05;Antioquia;2038;Total;7.351.263
05;Antioquia;2039;Total;7.369.211
05;Antioquia;2040;Total;7.385.129
05;Antioquia;2041;Total;7.399.045
05;Antioquia;2042;Total;7.411.001
05;Antioquia;2043;Total;7.421.042
05;Antioquia;2044;Total;7.429.184
05;Antioquia;2045;Total;7.435.448
05;Antioquia;2046;Total;7.439.880
05;Antioquia;2047;Total;7.442.534
05;Antioquia;2048;Total;7.443.453
05;Antioquia;2049;Total;7.442.657
05;Antioquia;2050;Total;7.440.163
08;Atlántico;2020;Cabecera;2.556.249
08;Atlántico;2020;Centros Poblados y Rural Disperso;137.416
08;Atlántico;2020;Total;2.693.665
08;Atlántico;2021;Cabecera;2.601.879
08;Atlántico;2021;Centros Poblados y Rural Disperso;139.123
08;Atlántico;2021;Total;2.741.002
08;Atlántico;2022;Cabecera;2.634.865
08;Atlántico;2022;Centros Poblados y Rural Disperso;140.093
08;Atlántico;2022;Total;2.774.958
08;Atlántico;2023;Cabecera;2.662.451
08;Atlántico;2023;Centros Poblados y Rural Disperso;141.114
08;Atlántico;2023;Total;2.803.565
08;Atlántico;2024;Cabecera;2.685.141
08;Atlántico;2024;Centros Poblados y Rural Disperso;141.983
08;Atlántico;2024;Total;2.827.124
08;Atlántico;2025;Cabecera;2.702.376
08;Atlántico;2025;Centros Poblados y Rural Disperso;142.793
08;Atlántico;2025;Total;2.845.169
08;Atlántico;2026;Cabecera;2.715.635
08;Atlántico;2026;Centros Poblados y Rural Disperso;143.504
08;Atlántico;2026;Total;2.859.139
08;Atlántico;2027;Cabecera;2.726.274
08;Atlántico;2027;Centros Poblados y Rural Disperso;144.242
08;Atlántico;2027;Total;2.870.516
08;Atlántico;2028;Cabecera;2.735.164
08;Atlántico;2028;Centros Poblados y Rural Disperso;145.041
08;Atlántico;2028;Total;2.880.205
08;Atlántico;2029;Cabecera;2.743.010
08;Atlántico;2029;Centros Poblados y Rural Disperso;145.951
08;Atlántico;2029;Total;2.888.961
08;Atlántico;2030;Cabecera;2.750.423
08;Atlántico;2030;Centros Poblados y Rural Disperso;147.000
08;Atlántico;2030;Total;2.897.423
08;Atlántico;2031;Cabecera;2.757.452
08;Atlántico;2031;Centros Poblados y Rural Disperso;148.143
08;Atlántico;2031;Total;2.905.595
08;Atlántico;2032;Cabecera;2.763.872
08;Atlántico;2032;Centros Poblados y Rural Disperso;149.293
08;Atlántico;2032;Total;2.913.165
08;Atlántico;2033;Cabecera;2.769.680
08;Atlántico;2033;Centros Poblados y Rural Disperso;150.439
08;Atlántico;2033;Total;2.920.119
08;Atlántico;2034;Cabecera;2.774.895
08;Atlántico;2034;Centros Poblados y Rural Disperso;151.582
08;Atlántico;2034;Total;2.926.477
08;Atlántico;2035;Cabecera;2.779.522
08;Atlántico;2035;Centros Poblados y Rural Disperso;152.749
08;Atlántico;2035;Total;2.932.271
08;Atlántico;2036;Total;2.937.348
08;Atlántico;2037;Total;2.941.562
08;Atlántico;2038;Total;2.944.931
08;Atlántico;2039;Total;2.947.480
08;Atlántico;2040;Total;2.949.193
08;Atlántico;2041;Total;2.950.056
08;Atlántico;2042;Total;2.950.092
08;Atlántico;2043;Total;2.949.327
08;Atlántico;2044;Total;2.947.768
08;Atlántico;2045;Total;2.945.403
08;Atlántico;2046;Total;2.942.251
08;Atlántico;2047;Total;2.938.348
08;Atlántico;2048;Total;2.933.690
08;Atlántico;2049;Total;2.928.280
08;Atlántico;2050;Total;2.922.132
11;Bogotá, D.C.;2020;Cabecera;7.704.034
11;Bogotá, D.C.;2020;Centros Poblados y Rural Disperso;28.127
11;Bogotá, D.C.;2020;Total;7.732.161
11;Bogotá, D.C.;2021;Cabecera;7.793.869
11;Bogotá, D.C.;2021;Centros Poblados y Rural Disperso;29.465
11;Bogotá, D.C.;2021;Total;7.823.334
11;Bogotá, D.C.;2022;Cabecera;7.842.853
11;Bogotá, D.C.;2022;Centros Poblados y Rural Disperso;30.463
11;Bogotá, D.C.;2022;Total;7.873.316
11;Bogotá, D.C.;2023;Cabecera;7.875.957
11;Bogotá, D.C.;2023;Centros Poblados y Rural Disperso;31.324
11;Bogotá, D.C.;2023;Total;7.907.281
11;Bogotá, D.C.;2024;Cabecera;7.897.503
11;Bogotá, D.C.;2024;Centros Poblados y Rural Disperso;32.036
11;Bogotá, D.C.;2024;Total;7.929.539
11;Bogotá, D.C.;2025;Cabecera;7.905.282
11;Bogotá, D.C.;2025;Centros Poblados y Rural Disperso;32.616
11;Bogotá, D.C.;2025;Total;7.937.898
11;Bogotá, D.C.;2026;Cabecera;7.902.685
11;Bogotá, D.C.;2026;Centros Poblados y Rural Disperso;33.069
11;Bogotá, D.C.;2026;Total;7.935.754
11;Bogotá, D.C.;2027;Cabecera;7.894.481
11;Bogotá, D.C.;2027;Centros Poblados y Rural Disperso;33.410
11;Bogotá, D.C.;2027;Total;7.927.891
11;Bogotá, D.C.;2028;Cabecera;7.882.730
11;Bogotá, D.C.;2028;Centros Poblados y Rural Disperso;33.639
11;Bogotá, D.C.;2028;Total;7.916.369
11;Bogotá, D.C.;2029;Cabecera;7.869.122
11;Bogotá, D.C.;2029;Centros Poblados y Rural Disperso;33.788
11;Bogotá, D.C.;2029;Total;7.902.910
11;Bogotá, D.C.;2030;Cabecera;7.854.979
11;Bogotá, D.C.;2030;Centros Poblados y Rural Disperso;33.859
11;Bogotá, D.C.;2030;Total;7.888.838
11;Bogotá, D.C.;2031;Cabecera;7.840.231
11;Bogotá, D.C.;2031;Centros Poblados y Rural Disperso;33.872
11;Bogotá, D.C.;2031;Total;7.874.103
11;Bogotá, D.C.;2032;Cabecera;7.824.205
11;Bogotá, D.C.;2032;Centros Poblados y Rural Disperso;33.881
11;Bogotá, D.C.;2032;Total;7.858.086
11;Bogotá, D.C.;2033;Cabecera;7.806.885
11;Bogotá, D.C.;2033;Centros Poblados y Rural Disperso;33.872
11;Bogotá, D.C.;2033;Total;7.840.757
11;Bogotá, D.C.;2034;Cabecera;7.788.301
11;Bogotá, D.C.;2034;Centros Poblados y Rural Disperso;33.844
11;Bogotá, D.C.;2034;Total;7.822.145
11;Bogotá, D.C.;2035;Cabecera;7.768.475
11;Bogotá, D.C.;2035;Centros Poblados y Rural Disperso;33.822
11;Bogotá, D.C.;2035;Total;7.802.297
11;Bogotá, D.C.;2036;Total;7.781.033
11;Bogotá, D.C.;2037;Total;7.758.141
11;Bogotá, D.C.;2038;Total;7.733.665
11;Bogotá, D.C.;2039;Total;7.707.627
11;Bogotá, D.C.;2040;Total;7.680.042
11;Bogotá, D.C.;2041;Total;7.650.959
11;Bogotá, D.C.;2042;Total;7.620.440
11;Bogotá, D.C.;2043;Total;7.588.563
11;Bogotá, D.C.;2044;Total;7.555.365
11;Bogotá, D.C.;2045;Total;7.520.887
11;Bogotá, D.C.;2046;Total;7.485.228
11;Bogotá, D.C.;2047;Total;7.448.480
11;Bogotá, D.C.;2048;Total;7.410.680
11;Bogotá, D.C.;2049;Total;7.371.877
11;Bogotá, D.C.;2050;Total;7.332.164
13;Bolívar;2020;Cabecera;1.606.341
13;Bolívar;2020;Centros Poblados y Rural Disperso;562.953
13;Bolívar;2020;Total;2.169.294
13;Bolívar;2021;Cabecera;1.624.099
13;Bolívar;2021;Centros Poblados y Rural Disperso;578.674
13;Bolívar;2021;Total;2.202.773
13;Bolívar;2022;Cabecera;1.635.733
13;Bolívar;2022;Centros Poblados y Rural Disperso;591.451
13;Bolívar;2022;Total;2.227.184
13;Bolívar;2023;Cabecera;1.644.271
13;Bolívar;2023;Centros Poblados y Rural Disperso;603.012
13;Bolívar;2023;Total;2.247.283
13;Bolívar;2024;Cabecera;1.651.875
13;Bolívar;2024;Centros Poblados y Rural Disperso;612.648
13;Bolívar;2024;Total;2.264.523
13;Bolívar;2025;Cabecera;1.657.867
13;Bolívar;2025;Centros Poblados y Rural Disperso;620.903
13;Bolívar;2025;Total;2.278.770
13;Bolívar;2026;Cabecera;1.662.490
13;Bolívar;2026;Centros Poblados y Rural Disperso;628.248
13;Bolívar;2026;Total;2.290.738
13;Bolívar;2027;Cabecera;1.666.360
13;Bolívar;2027;Centros Poblados y Rural Disperso;634.858
13;Bolívar;2027;Total;2.301.218
13;Bolívar;2028;Cabecera;1.669.760
13;Bolívar;2028;Centros Poblados y Rural Disperso;640.877
13;Bolívar;2028;Total;2.310.637
13;Bolívar;2029;Cabecera;1.672.978
13;Bolívar;2029;Centros Poblados y Rural Disperso;646.372
13;Bolívar;2029;Total;2.319.350
13;Bolívar;2030;Cabecera;1.676.243
13;Bolívar;2030;Centros Poblados y Rural Disperso;651.473
13;Bolívar;2030;Total;2.327.716
13;Bolívar;2031;Cabecera;1.679.316
13;Bolívar;2031;Centros Poblados y Rural Disperso;656.450
13;Bolívar;2031;Total;2.335.766
13;Bolívar;2032;Cabecera;1.681.983
13;Bolívar;2032;Centros Poblados y Rural Disperso;661.322
13;Bolívar;2032;Total;2.343.305
13;Bolívar;2033;Cabecera;1.684.246
13;Bolívar;2033;Centros Poblados y Rural Disperso;666.063
13;Bolívar;2033;Total;2.350.309
13;Bolívar;2034;Cabecera;1.686.095
13;Bolívar;2034;Centros Poblados y Rural Disperso;670.713
13;Bolívar;2034;Total;2.356.808
13;Bolívar;2035;Cabecera;1.687.495
13;Bolívar;2035;Centros Poblados y Rural Disperso;675.322
13;Bolívar;2035;Total;2.362.817
13;Bolívar;2036;Total;2.368.242
13;Bolívar;2037;Total;2.372.995
13;Bolívar;2038;Total;2.377.090
13;Bolívar;2039;Total;2.380.558
13;Bolívar;2040;Total;2.383.373
13;Bolívar;2041;Total;2.385.520
13;Bolívar;2042;Total;2.387.029
13;Bolívar;2043;Total;2.387.909
13;Bolívar;2044;Total;2.388.144
13;Bolívar;2045;Total;2.387.722
13;Bolívar;2046;Total;2.386.664
13;Bolívar;2047;Total;2.384.987
13;Bolívar;2048;Total;2.382.683
13;Bolívar;2049;Total;2.379.746
13;Bolívar;2050;Total;2.376.170
15;Boyacá;2020;Cabecera;742.548
15;Boyacá;2020;Centros Poblados y Rural Disperso;514.741
15;Boyacá;2020;Total;1.257.289
15;Boyacá;2021;Cabecera;758.077
15;Boyacá;2021;Centros Poblados y Rural Disperso;513.562
15;Boyacá;2021;Total;1.271.639
15;Boyacá;2022;Cabecera;772.082
15;Boyacá;2022;Centros Poblados y Rural Disperso;512.953
15;Boyacá;2022;Total;1.285.035
15;Boyacá;2023;Cabecera;786.220
15;Boyacá;2023;Centros Poblados y Rural Disperso;512.580
15;Boyacá;2023;Total;1.298.800
15;Boyacá;2024;Cabecera;798.089
15;Boyacá;2024;Centros Poblados y Rural Disperso;513.894
15;Boyacá;2024;Total;1.311.983
15;Boyacá;2025;Cabecera;808.583
15;Boyacá;2025;Centros Poblados y Rural Disperso;515.539
15;Boyacá;2025;Total;1.324.122
15;Boyacá;2026;Cabecera;817.954
15;Boyacá;2026;Centros Poblados y Rural Disperso;517.456
15;Boyacá;2026;Total;1.335.410
15;Boyacá;2027;Cabecera;826.470
15;Boyacá;2027;Centros Poblados y Rural Disperso;519.694
15;Boyacá;2027;Total;1.346.164
15;Boyacá;2028;Cabecera;834.211
15;Boyacá;2028;Centros Poblados y Rural Disperso;522.251
15;Boyacá;2028;Total;1.356.462
15;Boyacá;2029;Cabecera;841.137
15;Boyacá;2029;Centros Poblados y Rural Disperso;525.242
15;Boyacá;2029;Total;1.366.379
15;Boyacá;2030;Cabecera;847.379
15;Boyacá;2030;Centros Poblados y Rural Disperso;528.608
15;Boyacá;2030;Total;1.375.987
15;Boyacá;2031;Cabecera;853.099
15;Boyacá;2031;Centros Poblados y Rural Disperso;532.209
15;Boyacá;2031;Total;1.385.308
15;Boyacá;2032;Cabecera;858.548
15;Boyacá;2032;Centros Poblados y Rural Disperso;535.752
15;Boyacá;2032;Total;1.394.300
15;Boyacá;2033;Cabecera;863.750
15;Boyacá;2033;Centros Poblados y Rural Disperso;539.183
15;Boyacá;2033;Total;1.402.933
15;Boyacá;2034;Cabecera;868.655
15;Boyacá;2034;Centros Poblados y Rural Disperso;542.551
15;Boyacá;2034;Total;1.411.206
15;Boyacá;2035;Cabecera;873.284
15;Boyacá;2035;Centros Poblados y Rural Disperso;545.833
15;Boyacá;2035;Total;1.419.117
15;Boyacá;2036;Total;1.426.651
15;Boyacá;2037;Total;1.433.789
15;Boyacá;2038;Total;1.440.529
15;Boyacá;2039;Total;1.446.876
15;Boyacá;2040;Total;1.452.834
15;Boyacá;2041;Total;1.458.399
15;Boyacá;2042;Total;1.463.577
15;Boyacá;2043;Total;1.468.365
15;Boyacá;2044;Total;1.472.764
15;Boyacá;2045;Total;1.476.767
15;Boyacá;2046;Total;1.480.369
15;Boyacá;2047;Total;1.483.587
15;Boyacá;2048;Total;1.486.423
15;Boyacá;2049;Total;1.488.871
15;Boyacá;2050;Total;1.490.926
17;Caldas;2020;Cabecera;769.688
17;Caldas;2020;Centros Poblados y Rural Disperso;251.747
17;Caldas;2020;Total;1.021.435
17;Caldas;2021;Cabecera;780.970
17;Caldas;2021;Centros Poblados y Rural Disperso;247.665
17;Caldas;2021;Total;1.028.635
17;Caldas;2022;Cabecera;790.023
17;Caldas;2022;Centros Poblados y Rural Disperso;244.128
17;Caldas;2022;Total;1.034.151
17;Caldas;2023;Cabecera;798.911
17;Caldas;2023;Centros Poblados y Rural Disperso;241.373
17;Caldas;2023;Total;1.040.284
17;Caldas;2024;Cabecera;806.309
17;Caldas;2024;Centros Poblados y Rural Disperso;239.801
17;Caldas;2024;Total;1.046.110
17;Caldas;2025;Cabecera;812.660
17;Caldas;2025;Centros Poblados y Rural Disperso;238.622
17;Caldas;2025;Total;1.051.282
17;Caldas;2026;Cabecera;818.170
17;Caldas;2026;Centros Poblados y Rural Disperso;237.755
17;Caldas;2026;Total;1.055.925
17;Caldas;2027;Cabecera;822.984
17;Caldas;2027;Centros Poblados y Rural Disperso;237.261
17;Caldas;2027;Total;1.060.245
17;Caldas;2028;Cabecera;827.210
17;Caldas;2028;Centros Poblados y Rural Disperso;237.114
17;Caldas;2028;Total;1.064.324
17;Caldas;2029;Cabecera;830.858
17;Caldas;2029;Centros Poblados y Rural Disperso;237.360
17;Caldas;2029;Total;1.068.218
17;Caldas;2030;Cabecera;833.942
17;Caldas;2030;Centros Poblados y Rural Disperso;238.036
17;Caldas;2030;Total;1.071.978
17;Caldas;2031;Cabecera;836.636
17;Caldas;2031;Centros Poblados y Rural Disperso;238.962
17;Caldas;2031;Total;1.075.598
17;Caldas;2032;Cabecera;839.176
17;Caldas;2032;Centros Poblados y Rural Disperso;239.847
17;Caldas;2032;Total;1.079.023
17;Caldas;2033;Cabecera;841.543
17;Caldas;2033;Centros Poblados y Rural Disperso;240.698
17;Caldas;2033;Total;1.082.241
17;Caldas;2034;Cabecera;843.718
17;Caldas;2034;Centros Poblados y Rural Disperso;241.533
17;Caldas;2034;Total;1.085.251
17;Caldas;2035;Cabecera;845.689
17;Caldas;2035;Centros Poblados y Rural Disperso;242.349
17;Caldas;2035;Total;1.088.038
17;Caldas;2036;Total;1.090.575
